CTT_CUSTO;CTT_CLASSE;CTT_DESC01;CTT_BLOQ;CTT_CCLP
01;1;MATRIZ;2;01
0101;1;ADMINISTRACAO;2;0101
0101001;2;DIRETORIA GERAL;2;0101001
0101002;2;ADMINISTRAÇÃO GERAL;2;0101002
0101003;2;FINANCEIRO;2;0101003
0101004;2;MARKETING;2;0101004
0101005;2;RECURSOS HUMANOS;2;0101005
0101006;2;SERVIÇOS GERAIS;2;0101006
0101007;2;TECNOLOGIGA DA INFORMAÇÃO;2;0101007
0102;1;OPERACIONAL;2;0102
0102001;2;DEPARTAMENTO OPERACIONAL;2;0102001
0102002;2;ESTOQUE;2;0102002
0103;1;FROTA;2;0103
0103001;2;QPH8E63 FIAT UNO;2;0103001
0103002;2;PQH8704 FIAT UNO;2;0103002
0103003;2;ONC27I3 FIAT UNO;2;0103003
0103004;2;QUI2H34 FIAT UNO;2;0103004
0103005;2;QQU2I60 FIAT FIORINO;2;0103005
0103006;2;AYU2553 RENAULT KANGOO;2;0103006
0104;1;COMERCIAL;2;0104
0104001;2;COMERCIAL ADMINISTRATIVO;2;0104001
0104002;2;PRE-VENDAS;2;0104002
0104003;2;VENDAS;2;0104003
0104004;2;REVENDAS;2;0104004
0104005;2;POS-VENDAS;2;0104005
0104006;2;E-COMMERCE;2;0104006
0104007;2;AFILIADOS;2;0104007
0104008;2;FRANQUIAS;2;0104008
;;;;
;;;;
